activity,x-axis,y-axis,z-axis
Walking,0.84446156,8.008764,2.7921712
Walking,1.1168685,8.62168,3.7864566
Walking,-0.50395286,16.657684,1.3075534
Walking,4.7943625,10.760075,-1.1849703
Walking,-0.040861044,9.234595,-0.6946377
Walking,2.4925237,8.730643,-1.4573772
Walking,0.53119355,9.888372,-1.2258313
Walking,1.7570249,11.032481,-0.6537767
Walking,2.982856,12.14935,-1.3075534
Walking,-0.8036005,12.721405,-1.2666923
Walking,0.19068487,6.932757,0.53119355
Walking,-0.3405087,6.3198414,0.50395286
Walking,0.46309182,8.894087,5.7886477
Walking,0.08172209,7.246025,5.8976107
Walking,-0.7627395,4.6036777,-2.6423476
Walking,-1.607201,7.5456724,1.0351465
Walking,1.4573772,8.771504,-0.46309182
Walking,1.0351465,10.038197,-0.8036005
Walking,2.8738933,15.050485,0.6537767
Walking,-3.9499009,13.633968,-2.3018389
Walking,4.372132,7.4639506,-0.10896278
Walking,-1.7978859,1.4573772,-0.7218784
Walking,1.920469,18.46919,12.026767
Walking,-4.440233,17.502148,1.7297841
Walking,1.4573772,11.686258,0.040861044
Walking,1.920469,7.8180795,-1.7297841
Walking,1.879608,9.384419,-0.3405087
Walking,2.7649305,13.484144,1.6889231
Walking,-1.1441092,16.467001,-3.8273177
Walking,4.140586,6.0474343,-0.040861044
Walking,-1.334794,0.19068487,-2.6832085
Walking,1.334794,18.237646,13.715691
Walking,-4.1814466,16.249075,1.1849703
Walking,1.7297841,11.264028,0.84446156
Walking,0.14982383,9.575105,0.50395286
Walking,2.982856,9.615966,-0.50395286
Walking,2.8330324,14.560152,0.040861044
Walking,-4.1814466,15.132206,-3.9771416
Walking,5.284695,6.742072,-0.9942854
Walking,-2.1383946,0.92618364,-2.4516625
Walking,4.8216033,19.041246,14.7916975
Walking,1.1441092,11.795221,-0.3405087
Walking,-1.9885708,8.240311,1.1441092
Walking,-0.14982383,8.853226,0.53119355
Walking,4.372132,11.413852,0.7218784
Walking,2.5606253,11.876944,-1.4573772
Walking,0.10896278,12.53072,0.313268
Walking,-0.6946377,1.4573772,-2.6014864
Walking,-2.1792557,10.228881,5.938472
Walking,-5.012288,9.112013,-0.8036005
Walking,4.903325,10.800936,-0.84446156
Walking,-0.10896278,5.284695,-2.3018389
Walking,0.7627395,10.61025,1.2666923
Walking,3.6774938,14.859799,0.7627395
Walking,-4.862464,18.34661,2.1111538
Walking,0.88532263,5.053149,-1.0760075
Walking,-2.7240696,1.0351465,-0.53119355
Walking,1.1849703,3.8273177,4.4810944
Walking,4.099725,2.1111538,-4.7943625
Walking,-1.607201,5.9793324,-0.3405087
Walking,0.313268,8.894087,-0.040861044
Walking,4.6036777,12.980191,1.4573772
Walking,-1.0760075,14.09706,-4.099725
Walking,3.5957718,9.575105,-1.4573772
Walking,-0.7218784,0.9942854,-2.1792557
Walking,-1.525479,11.34575,7.164303
Walking,-4.2904096,10.378705,-2.4108016
Walking,4.372132,7.014479,-2.9147544
Walking,0.6946377,6.2108784,-2.3426998
Walking,1.2258313,10.923519,1.6889231
Walking,3.214402,15.472715,0.8036005
Walking,-5.938472,17.270601,0.3405087
Walking,2.6423476,3.759216,-1.1441092
Walking,-3.759216,2.6423476,0.040861044
Walking,0.08172209,5.829509,6.8237944
Walking,3.0645783,4.0180025,-4.4810944
Walking,-0.23154591,8.240311,0.5720546
Walking,-0.19068487,10.119919,0.9942854
Walking,5.366417,13.102775,0.92618364
Walking,0.313268,14.056199,-4.2904096
Walking,3.636633,7.8861814,-0.46309182
Walking,-0.7627395,0.46309182,-2.3699405
Walking,1.4982382,17.815414,15.6634
Walking,-3.8273177,15.5135765,-0.9942854
Walking,0.08172209,9.915613,0.6537767
Walking,-0.46309182,9.575105,0.46309182
Walking,2.0294318,9.956474,0.61291564
Walking,2.7649305,14.818938,1.2258313
Walking,-4.372132,16.86199,-2.6014864
Walking,2.6423476,5.6252036,-0.84446156
Walking,-1.7978859,0.14982383,-2.2609777
Walking,2.4925237,17.692831,14.669114
Walking,-2.8738933,12.53072,0.53119355
Walking,-2.7513103,11.563675,1.4982382
Walking,1.607201,7.8589406,-0.8036005
Walking,2.7649305,11.223166,1.2666923
Walking,-0.8036005,13.443283,0.61291564
Walking,-6.510526,18.8097,1.1849703
Walking,1.9885708,3.173541,-1.1441092
Walking,-2.6014864,1.6480621,-0.38136974
Walking,-3.255263,6.5922484,6.3607025
Walking,2.6423476,6.2108784,-5.5571017
Walking,-2.7240696,5.325556,-0.50395286
Walking,-0.53119355,8.539958,0.38136974
Walking,4.6036777,13.865514,0.7627395
Walking,-1.920469,13.756551,-4.671779
Walking,3.9090397,7.8589406,-0.50395286
Walking,-1.1168685,1.334794,-1.56634
Walking,-2.7921712,14.056199,10.691973
Walking,-7.1234417,14.328606,0.7218784
Walking,1.2666923,8.539958,-1.607201
Walking,0.14982383,5.134871,-3.405087
Walking,1.0760075,11.454713,1.7570249
Walking,2.7240696,15.636159,0.8036005
Walking,-3.9771416,14.47843,-2.5333846
Walking,4.2904096,5.366417,-0.38136974
Walking,-2.2201166,1.6480621,-1.4573772
Walking,0.61291564,19.272793,15.745122
Walking,-5.284695,4.0180025,-3.636633
Walking,2.6832085,5.325556,-4.862464
Walking,-1.4165162,5.5571017,-1.7297841
Walking,0.8036005,10.841797,1.2258313
Walking,2.982856,14.9006605,0.27240697
Walking,-1.56634,12.9529505,-5.175732
Walking,3.568531,8.390134,-0.9942854
Walking,-1.7297841,1.0760075,-2.1111538
Walking,-1.1168685,15.132206,12.489859
Walking,-5.012288,17.583868,0.92618364
Walking,1.2258313,12.912089,1.56634
Walking,0.313268,7.3958488,-2.4516625
Walking,1.879608,9.615966,0.6946377
Walking,2.7921712,15.241169,0.040861044
Walking,-7.8861814,17.692831,3.568531
Walking,-0.7218784,0.8036005,-0.95342433
Walking,-3.6774938,4.0588636,-0.46309182
Walking,-0.50395286,6.973618,5.938472
Walking,0.46309182,8.308413,-3.486809
Walking,0.61291564,11.686258,0.6946377
Walking,-1.0760075,8.539958,-1.334794
Walking,5.706926,12.53072,1.334794
Walking,-0.5720546,11.917805,-0.27240697
Walking,-6.973618,15.28203,2.1111538
Walking,-0.50395286,3.1463003,-0.42223078
Walking,-2.5606253,5.284695,2.0294318
Walking,0.92618364,5.597963,4.630918
Walking,0.5720546,2.9556155,-5.09401
Walking,-1.334794,5.47538,-0.7218784
Walking,-1.1168685,9.575105,1.0760075
Walking,2.6014864,14.519291,0.88532263
Walking,-4.2904096,14.137921,-5.175732
Walking,5.053149,6.973618,-1.879608
Walking,-1.607201,1.9477097,-2.070293
Walking,-0.040861044,17.434046,14.628253
Walking,-5.09401,18.04696,1.0760075
Walking,-0.8036005,13.211738,1.3756552
Walking,-0.29964766,7.7772183,-1.2258313
Walking,0.3405087,11.114203,0.53119355
Walking,0.95342433,14.410328,0.92618364
Walking,-7.014479,16.630445,0.84446156
Walking,1.607201,3.486809,-1.56634
Walking,-3.7864566,2.9147544,0.040861044
Walking,-0.0,2.2609777,5.2165933
Walking,1.4573772,1.607201,-5.012288
Walking,-0.0,7.246025,-1.2258313
Walking,-0.38136974,9.193735,-0.040861044
Walking,3.8681788,13.633968,0.6537767
Walking,0.27240697,11.876944,-3.214402
Walking,-2.3426998,11.876944,0.6537767
Walking,-0.23154591,2.4108016,-1.7978859
Walking,-3.568531,7.668256,4.5628166
Walking,-5.7886477,1.6889231,-1.4165162
Walking,2.6832085,5.2165933,-4.5628166
Walking,-1.3756552,5.47538,-1.334794
Walking,0.313268,9.466142,0.6537767
Walking,4.671779,14.709975,1.1849703
Walking,-3.2961242,15.28203,-4.399372
Walking,4.372132,7.205164,-1.4982382
Walking,-1.6480621,1.1441092,-1.8387469
Walking,-0.3405087,18.659876,15.363752
Walking,-5.597963,16.358038,0.50395286
Walking,-2.7240696,11.645397,0.5720546
Walking,0.08172209,6.469665,-0.9125633
Walking,0.50395286,10.882658,0.7218784
Walking,-0.6946377,13.797412,0.7627395
Walking,-5.706926,17.270601,1.0760075
Walking,1.1849703,3.405087,-0.88532263
Walking,-2.7240696,1.3756552,-1.3756552
Walking,1.7570249,14.601013,12.299174
Walking,0.6946377,6.5922484,-2.2609777
Walking,-0.08172209,10.460427,1.0760075
Walking,-1.8387469,9.534244,1.7297841
Walking,4.944186,12.980191,-0.10896278
Walking,-0.88532263,12.367276,-1.7570249
Walking,-2.6423476,13.947236,0.61291564
Walking,-0.9125633,1.9477097,-1.6480621
Walking,-3.568531,8.499097,4.7126403
Walking,-2.7240696,4.903325,-3.405087
Walking,2.2609777,6.5513873,-2.3426998
Walking,-0.61291564,3.568531,-1.7978859
Walking,-0.8036005,8.689782,-0.6946377
Walking,1.6889231,11.264028,-0.42223078
Walking,1.2258313,15.050485,-0.27240697
Walking,-5.8976107,15.5135765,1.6889231
Walking,0.14982383,2.070293,-0.9942854
Walking,-1.8387469,1.9885708,0.46309182
Walking,-2.6832085,1.5390993,3.6774938
Walking,-0.27240697,4.0180025,-4.2086873
Walking,-0.0,7.4639506,0.3405087
Walking,-2.4925237,8.499097,0.8036005
Walking,4.1814466,13.021052,0.53119355
Walking,-1.525479,13.021052,-3.5957718
Walking,-1.2258313,11.958665,-0.42223078
Walking,-0.53119355,1.2258313,-1.9885708
Walking,-3.173541,9.997335,6.1700177
Walking,-4.0588636,6.5513873,-4.140586
Walking,1.9477097,5.407278,-2.4108016
Walking,-0.7627395,4.944186,-3.214402
Walking,0.42223078,10.95076,0.23154591
Walking,0.040861044,13.865514,1.0351465
Walking,-5.6660647,16.3989,-0.7627395
Walking,1.3756552,3.405087,-0.6537767
Walking,-0.6537767,0.84446156,-0.29964766
Walking,-1.3075534,11.795221,9.00305
Walking,1.0760075,6.1291566,-3.3642259
Walking,0.84446156,10.228881,1.2258313
Walking,-0.10896278,8.62168,0.313268
Walking,3.3778462,13.184497,0.23154591
Walking,-1.0760075,11.985906,-0.88532263
Walking,-5.9793324,14.560152,2.152015
Walking,-0.6946377,2.982856,-0.6946377
Walking,-2.1383946,8.812365,5.829509
Walking,-4.5219555,9.152874,-1.3075534
Walking,2.0294318,8.117727,-1.9477097
Walking,-0.38136974,6.4424243,-3.1463003
Walking,0.23154591,10.651112,0.10896278
Walking,1.56634,15.132206,1.7570249
Walking,-0.29964766,12.871228,-1.879608
Walking,-0.14982383,11.032481,-0.6537767
Walking,1.6480621,4.862464,-1.607201
Walking,-2.5333846,1.7297841,-1.4165162
Walking,0.27240697,18.237646,15.241169
Walking,-4.944186,11.563675,2.3018389
Walking,-0.9942854,9.152874,1.56634
Walking,-0.88532263,7.4639506,0.53119355
Walking,-0.5720546,11.917805,0.7218784
Walking,0.7627395,15.894946,1.7978859
Walking,-6.932757,15.431854,0.08172209
Walking,1.879608,4.440233,-1.6889231
Walking,-2.7921712,2.3699405,-0.50395286
Walking,-0.5720546,12.026767,10.528529
Walking,-6.66035,14.410328,-3.214402
Walking,2.070293,9.997335,-1.1849703
Walking,-0.42223078,6.66035,-2.4925237
Walking,-0.3405087,11.182305,0.84446156
Walking,3.214402,14.709975,0.88532263
Walking,-1.1168685,12.53072,-3.8273177
Walking,3.759216,8.921328,-0.8036005
Walking,-1.607201,2.4108016,-1.3075534
Walking,-0.9942854,14.601013,10.079058
Walking,-7.7363577,17.120777,0.08172209
Walking,0.10896278,10.923519,0.42223078
Walking,1.3075534,8.771504,-0.42223078
Walking,-0.08172209,9.507003,0.08172209
Walking,1.8387469,14.669114,1.4982382
Walking,1.0760075,11.604536,-3.636633
Walking,-0.6537767,11.223166,-0.38136974
Walking,-1.8387469,2.7921712,-1.56634
Walking,-3.0645783,12.489859,8.390134
Walking,-8.471856,13.184497,-2.2201166
Walking,-0.46309182,8.812365,-0.7627395
Walking,0.7627395,7.3958488,-1.879608
Walking,0.6537767,10.228881,0.313268
Walking,-0.14982383,14.859799,1.0351465
Walking,-5.9793324,16.126492,-1.0760075
Walking,3.5276701,4.7943625,-1.4165162
Walking,-2.7513103,1.879608,-1.1168685
