SessionID,DeviseID,UserID,Date,Year,TimeStamp,X,Y,Z,Activity
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 3.9514625, 6.5590205, 5.829575, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 3.9418802, 6.7123356, 5.9493527, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 3.7646093, 6.7183247, 6.091888, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 3.8280916, 6.502725, 6.4751763, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 3.723885, 5.8152018, 6.8932, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 3.50589, 6.124228, 6.8452888, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 3.3322124, 6.566207, 6.4620004, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 3.5118787, 6.6165137, 6.5434494, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 3.3178391, 6.3182673, 6.271554, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 3.1537437, 4.113162, 7.078855, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 1.8529592, 2.7524889, 7.742423, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 1.576273, 0.3269928, 8.33652, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -0.09222874, -2.3009274, 7.1830616, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.3966066, -5.0186806, 8.671897, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.7930704, -7.262115, 8.318553, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -0.7282477, -7.5723386, 10.039757, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -0.3928705, -5.3384867, 9.216885, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 0.067075446, -4.974363, 9.201314, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -0.2132041, -5.594811, 8.57847, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.0815916, -5.956539, 8.0778, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.6062174, -6.5542293, 7.3938704, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.1402826, -6.9303308, 6.1841164, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -0.39885935, -8.093371, 5.9230013, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 0.31621283, -7.5459876, 5.8152018, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 0.72704995, -8.553317, 5.470242, Drinking Water, 
