SessionID,DeviseID,UserID,Date,Year,TimeStamp,X,Y,Z,Activity
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.0540427, -1.4229577, 9.533098, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.3019823, -0.5485813, 9.606162, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.6122062, -1.0336806, 10.109228, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.5056043, -1.1175249, 10.146359, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.4301443, -1.1846002, 9.839728, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.4972198, -1.2061603, 9.540284, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.5906463, -1.1834025, 9.392958, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.624184, -1.1953803, 9.530703, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.7870815, -1.1738203, 9.577415, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.7235994, -1.2013692, 9.655271, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.6469418, -1.3331245, 9.690006, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.5630975, -1.4241555, 9.669644, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.4241555, -1.2504779, 9.525911, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.394211, -1.2061603, 9.461231, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 1.4900331, -1.1750181, 9.475605, Sitting, 
